book_id,genres,image_url,isbn,page_num,pub_year,rating,title,writer
10,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311998766M/128940.JPG,147600,117,1995,4,THE PERSIAN PICKLE CLUB,SANDRA DALLAS
11,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1323870279M/10059498.JPG,618001905,131,2011,4,THE MIDWIFE'S CONFESSION,DIANE CHAMBERLAIN
12,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1433084322M/59924.JPG,679800034,157,1971,4,THE LATHE OF HEAVEN,URSULA K. LE GUIN
13,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1312051661M/134360.JPG,679800034,106,1972,4,DIANE ARBUS: MONOGRAPH,"DIANE ARBUS, STAN GROSSFELD, DOON ARBUS, MARVIN ISRAEL"
14,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1277923728M/32263.JPG,679800034,207,2001,4,"THE SURGEON (RIZZOLI & ISLES, #1)",TESS GERRITSEN
15,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1480096268M/13891.JPG,679800034,159,2000,4,"WINTER'S HEART (WHEEL OF TIME, #9)",ROBERT JORDAN
16,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331323415M/33456.JPG,60590270,138,2006,4,"A DIRTY JOB (GRIM REAPER, #1)",CHRISTOPHER MOORE
17,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1354255331M/16152943.JPG,393325350,110,2012,4,"WANTED (WANTED, #1)",KELLY ELLIOTT
18,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1317064291M/1096390.JPG,307377040,191,2007,4,THE UNCOMMON READER,ALAN BENNETT
19,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1367119561M/2761356.JPG,802151825,109,2005,4,THE SWEET GUM TREE,KATHERINE ALLRED
20,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1350939053M/15811496.JPG,119000,130,2013,4,COOKED: A NATURAL HISTORY OF TRANSFORMATION,MICHAEL POLLAN
21,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1469186110M/34529.JPG,679800034,175,1992,4,"LORDS AND LADIES (DISCWORLD, #14; WITCHES #4)",TERRY PRATCHETT
22,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1313276211M/11996019.JPG,86231,105,2012,4,THE KING'S AGENT,DONNA RUSSO MORIN
23,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356028113M/9305362.JPG,133688,129,2015,4,"CAPTIVE PRINCE (CAPTIVE PRINCE, #1)",C.S. PACAT
24,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1360321953M/19106.JPG,97382,233,1836,4,THE NOSE,"NIKOLAI GOGOL, KEVIN HAWKES"
25,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1291168967M/6479259.JPG,1296,171,2010,4,"SPIRIT BOUND (VAMPIRE ACADEMY, #5)",RICHELLE MEAD
26,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1390180160M/5171.JPG,345439104,143,2000,4,DROWNING RUTH,CHRISTINA SCHWARZ
27,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309220205M/114166.JPG,805080511,162,2006,4,"DEVIL IN WINTER (WALLFLOWERS, #3)",LISA KLEYPAS
28,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320398047M/160988.JPG,200158,115,1968,4,THE BEST NEST,P.D. EASTMAN
29,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358119149M/16142053.JPG,20840,124,2013,4,"GOING CLEAR: SCIENTOLOGY, HOLLYWOOD, AND THE PRISON OF BELIEF",LAWRENCE WRIGHT
30,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1334414049M/12922320.JPG,82560,146,2012,4,"CRIMINAL (WILL TRENT, #6)",KARIN SLAUGHTER
31,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309204701M/113576.JPG,770435629,111,2003,4,THE SMARTEST GUYS IN THE ROOM: THE AMAZING RISE AND SCANDALOUS FALL OF ENRON,"BETHANY MCLEAN, PETER ELKIND"
32,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1437414470M/23492288.JPG,805095837,124,2016,4,"HIDDEN BODIES (YOU, #2)",CAROLINE KEPNES
33,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328103463M/11981168.JPG,679800034,115,2011,3,"THE ONE YOU LOVE (EMMA HOLDEN SUSPENSE MYSTERY, #1)",PAUL PILKINGTON
34,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1427559332M/23017947.JPG,374351384,114,2015,4,"MS. MARVEL, VOL. 2: GENERATION WHY","G. WILLOW WILSON, ADRIAN ALPHONA, JACOB WYATT"
35,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1392378701M/20348781.JPG,140187723,119,2014,4,LOVING MR. DANIELS,BRITTAINY C. CHERRY
36,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1426364478M/25142924.JPG,679800034,137,2012,4,THE MAGIC STRINGS OF FRANKIE PRESTO,MITCH ALBOM
37,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327440625M/7823038.JPG,671875965,122,2010,4,"GRAVE WITCH (ALEX CRAFT, #1)",KALAYNA PRICE
38,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1317064300M/551876.JPG,312367481,140,1968,4,TIKKI TIKKI TEMBO,"ARLENE MOSEL, BLAIR LENT"
39,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1354435714M/129618.JPG,99436922,143,1994,4,"UNTIL YOU (WESTMORELAND, #3)",JUDITH MCNAUGHT
40,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358254974M/10572.JPG,553381695,302,1998,4,"A CLASH OF KINGS  (A SONG OF ICE AND FIRE, #2)",GEORGE R.R. MARTIN
41,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1451790312M/27864391.JPG,553578553,162,2000,4,THE DANISH GIRL,DAVID EBERSHOFF
42,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1426861477M/18750.JPG,13648,150,1984,4,"BEAUTY'S PUNISHMENT (SLEEPING BEAUTY, #2)","A.N. ROQUELAURE, ANNE RICE"
43,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1387399626M/18465657.JPG,679800034,125,2014,3,THE ONE & ONLY,EMILY GIFFIN
44,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358010468M/7661.JPG,60872985,192,2006,3,NEXT,MICHAEL CRICHTON
45,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1170797663M/72003.JPG,60988649,114,1993,4,ANGELS IN AMERICA,TONY KUSHNER
46,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1369329231M/16175040.JPG,375714499,121,2013,4,"ENDLESS KNIGHT (THE ARCANA CHRONICLES, #2)",KRESLEY COLE
47,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328026886M/2494204.JPG,545310032,145,2008,4,"SALVATION IN DEATH (IN DEATH, #27)",J.D. ROBB
48,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1348102787M/119838.JPG,812995228,120,1994,4,"TEARS OF A TIGER (HAZELWOOD HIGH, #1)",SHARON M. DRAPER
49,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1337211222M/10757806.JPG,89145,121,2011,4,HOW TO SAVE A LIFE,SARA ZARR
50,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1337026387M/12954620.JPG,345524594,141,2012,4,"FALLING KINGDOMS (FALLING KINGDOMS, #1)","MORGAN RHODES, MICHELLE ROWEN"
51,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1379437095M/17562900.JPG,374384711,123,2014,4,"NIGHT BROKEN (MERCY THOMPSON, #8)",PATRICIA BRIGGS
52,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356454885M/397867.JPG,210630,150,1974,4,"THE RATS (RATS, #1)",JAMES HERBERT
53,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1437098338M/15704486.JPG,553572946,135,2016,4,"CALAMITY (THE RECKONERS, #3)",BRANDON SANDERSON
54,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344023178M/226378.JPG,752876821,417,1840,4,A HERO OF OUR TIME,"MIKHAIL LERMONTOV, PAUL FOOTE"
55,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1429218612M/22934446.JPG,810909650,120,2014,4,NOT MY FATHER'S SON,ALAN CUMMING
56,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1363586056M/133526.JPG,670175919,133,1948,4,BLUEBERRIES FOR SAL,ROBERT MCCLOSKEY
57,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1316730155M/7906105.JPG,107712,119,2010,4,"GIRL, STOLEN (GIRL, STOLEN #1)",APRIL HENRY
58,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1334659192M/7913305.JPG,29750,145,2010,4,"THE IMMORTALS OF MELUHA (SHIVA TRILOGY, #1)",AMISH TRIPATHI
59,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311995989M/925367.JPG,671019708,130,1997,4,THE CLIMB: TRAGIC AMBITIONS ON EVEREST,"ANATOLI BOUKREEV, G. WESTON DEWALT"
60,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327908992M/693208.JPG,316013684,167,2007,4,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,"SHERMAN ALEXIE, ELLEN FORNEY"
61,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1326549060M/2161733.JPG,446402397,227,2008,4,"CHILD 44 (LEO DEMIDOV, #1)",TOM ROB SMITH
62,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1355074644M/15096257.JPG,155516,113,2012,4,THE BLOODLETTER'S DAUGHTER: A NOVEL OF OLD BOHEMIA,LINDA LAFFERTY
63,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1364805592M/11313.JPG,103734,153,1977,4,"SILVER ON THE TREE (THE DARK IS RISING, #5)",SUSAN COOPER
64,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1397093185M/17212231.JPG,385537859,335,2013,4,"INFERNO (ROBERT LANGDON, #4)",DAN BROWN
65,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361310229M/17402605.JPG,552562521,185,2007,4,"THE ALCHEMYST (THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL, #1)",MICHAEL SCOTT
66,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1291165900M/7093952.JPG,670021873,165,2010,4,"FAITHFUL PLACE (DUBLIN MURDER SQUAD, #3)",TANA FRENCH
67,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344369854M/12791521.JPG,102098,121,2012,4,"BATMAN: EARTH ONE, VOLUME 1","GEOFF JOHNS, GARY FRANK, JON SIBAL, BRAD ANDERSON, ROB LEIGH"
68,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1483424891M/267869.JPG,58412,134,2006,4,"SILENT IN THE GRAVE (LADY JULIA GREY, #1)",DEANNA RAYBOURN
69,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1346870062M/236056.JPG,66010,143,1987,4,THERE'S A BOY IN THE GIRLS' BATHROOM,LOUIS SACHAR
70,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1321127130M/12924253.JPG,99160,121,2012,4,"ONCE (EVE, #2)",ANNA CAREY
71,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358109459M/8253920.JPG,765325942,139,2010,4,"TOWERS OF MIDNIGHT (WHEEL OF TIME, #13)","ROBERT JORDAN, BRANDON SANDERSON"
72,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1315410828M/17208.JPG,345527771,141,1982,4,FRIDAY,ROBERT A. HEINLEIN
73,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1287510321M/192888.JPG,385721811,222,1926,4,"CLOUDS OF WITNESS (LORD PETER WIMSEY, #2)",DOROTHY L. SAYERS
74,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403302625M/16136599.JPG,131220,148,2014,4,"REDEEMED (HOUSE OF NIGHT, #12)","P.C. CAST, KRISTIN CAST"
75,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1319030278M/6871646.JPG,778319059,118,2010,4,PETE THE CAT: I LOVE MY WHITE SHOES,"ERIC LITWIN, JAMES DEAN"
76,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1406505722M/27526.JPG,40467,134,2001,4,"DESECRATION (LEFT BEHIND, #9)","TIM LAHAYE, JERRY B. JENKINS"
77,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1353489892M/15717943.JPG,2240,153,2012,4,"HOPELESS (HOPELESS, #1)",COLLEEN HOOVER
78,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327891970M/7707.JPG,177786,113,1956,4,PYGMALION & MY FAIR LADY,"GEORGE BERNARD SHAW, ALAN JAY LERNER"
79,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1377323978M/10940958.JPG,29529,145,2011,4,"BLUE MONDAY (FRIEDA KLEIN, #1)",NICCI FRENCH
80,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1485623844M/3378.JPG,60724692,153,1991,4,GENERATION X: TALES FOR AN ACCELERATED CULTURE,DOUGLAS COUPLAND
81,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1348705921M/9962040.JPG,749932945,125,2011,4,"IN BED WITH A HIGHLANDER (MCCABE TRILOGY, #1)",MAYA BANKS
82,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1340468685M/13628812.JPG,679800034,106,2012,4,THE RENT COLLECTOR,CAMRON WRIGHT
83,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320404514M/1928873.JPG,765329581,137,2008,4,"MIDNIGHT RISING (MIDNIGHT BREED, #4)",LARA ADRIAN
84,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1374680848M/194366.JPG,310234697,780,1905,4,THE RETURN OF SHERLOCK HOLMES,ARTHUR CONAN DOYLE
85,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1336663149M/13643567.JPG,49164,128,2012,4,"THE EVOLUTION OF MARA DYER (MARA DYER, #2)",MICHELLE HODKIN
86,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403181554M/22402972.JPG,6499473,130,2015,4,FISH IN A TREE,LYNDA MULLALY HUNT
87,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1434559021M/25387351.JPG,385539436,166,2015,4,ROGUE LAWYER,JOHN GRISHAM
88,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1451446316M/21853621.JPG,312577222,190,2015,5,THE NIGHTINGALE,KRISTIN HANNAH
89,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1316729348M/175983.JPG,679800034,139,2001,4,"MEMORIES OF ICE (THE MALAZAN BOOK OF THE FALLEN, #3)",STEVEN ERIKSON
90,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1336832005M/13505130.JPG,525955100,189,2008,4,"THE ABSENT ONE (DEPARTMENT Q, #2)","JUSSI ADLER-OLSEN, K.E. SEMMEL"
91,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1330464293M/33724.JPG,440241901,194,2003,4,CAN YOU KEEP A SECRET?,SOPHIE KINSELLA
92,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1312498906M/14975.JPG,747266921,206,2005,4,"LABYRINTH (LANGUEDOC, #1)",KATE MOSSE
93,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1449425543M/25817528.JPG,517548233,120,2016,4,BE FRANK WITH ME,JULIA CLAIBORNE JOHNSON
94,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1367267369M/294046.JPG,21684,163,2007,4,"THE JUDAS STRAIN (SIGMA FORCE, #4)",JAMES ROLLINS
95,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1385964725M/18114142.JPG,316018708,112,2014,4,A FALL OF MARIGOLDS,SUSAN MEISSNER
96,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309295064M/327242.JPG,60751967,105,2001,4,ANATOMY FOR THE ARTIST,SARAH SIMBLET
97,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1436735207M/10569.JPG,743455967,222,1999,4,ON WRITING: A MEMOIR OF THE CRAFT,STEPHEN KING
98,3,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1447866792M/26891429.JPG,47196,103,2016,4,"THE CITY OF MIRRORS (THE PASSAGE, #3)",JUSTIN CRONIN
99,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1415583796M/25403.JPG,13079,185,2003,4,THE ORANGE GIRL,"JOSTEIN GAARDER, JAMES ANDERSON"
100,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1479653095M/6316171.JPG,679721037,133,2009,4,HATE LIST,JENNIFER BROWN
101,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328050483M/53817.JPG,316212822,140,1997,4,WHAT'S SO AMAZING ABOUT GRACE?,PHILIP YANCEY
102,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327464177M/18130.JPG,31824,166,1973,4,"A WIND IN THE DOOR (A WRINKLE IN TIME QUINTET, #2)",MADELEINE L'ENGLE
103,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1326311073M/13042154.JPG,805090800,125,2012,4,"REBEL HEART (DUST LANDS, #2)",MOIRA YOUNG
104,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1172360760M/168814.JPG,23040,109,1985,4,KEYS TO DRAWING,BERT DODSON
105,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1426188598M/2924318.JPG,30604,142,2008,4,"HOME (GILEAD, #2)",MARILYNNE ROBINSON
106,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1464826516M/23717678.JPG,752876457,131,2015,4,THE MURDER HOUSE,"JAMES PATTERSON, DAVID ELLIS"
107,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1442034711M/11699349.JPG,168198,110,2012,4,THE LIONS OF LITTLE ROCK,KRISTIN LEVINE
108,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1368569643M/17797381.JPG,749009519,135,2013,4,INNOCENCE,DEAN KOONTZ
109,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309282858M/298137.JPG,399167846,160,2003,4,MAO'S LAST DANCER,LI CUNXIN
110,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1271790654M/7747064.JPG,373210132,144,2010,4,THE IRON DAUGHTER,JULIE KAGAWA
111,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328839454M/7894870.JPG,679776591,107,2010,4,BONE: TALL TALES,"JEFF SMITH, THOMAS E. SNIEGOSKI, STEVE HAMAKER"
112,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1342438281M/371787.JPG,385538731,147,1989,4,"SORCERESS OF DARSHIVA (THE MALLOREON, #4)",DAVID EDDINGS
113,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327866271M/9570.JPG,345326490,130,1971,4,ANOTHER ROADSIDE ATTRACTION,TOM ROBBINS
114,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1366212852M/113436.JPG,375826696,317,2002,4,"ERAGON (THE INHERITANCE CYCLE, #1)",CHRISTOPHER PAOLINI
115,5,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1357108762M/15507958.JPG,670026603,268,2012,4,"ME BEFORE YOU (ME BEFORE YOU, #1)",JOJO MOYES
116,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327960951M/94486.JPG,210834,186,1940,4,THE INVENTION OF MOREL,"ADOLFO BIOY CASARES, SUZANNE JILL LEVINE, JORGE LUIS BORGES, RUTH L.C. SIMMS, NORAH BORGES DE TORRE"
117,7,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309288721M/184324.JPG,71808,120,2002,4,"DARK DEMON (DARK, #16)",CHRISTINE FEEHAN
118,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408637760M/13630171.JPG,679752552,129,2015,4,"THE SKULL THRONE (DEMON CYCLE, #4)",PETER V. BRETT
119,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327885739M/10128428.JPG,545027896,126,2011,4,WONDERSTRUCK,BRIAN SELZNICK
120,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1315082776M/2903736.JPG,441016383,118,2008,4,"PRINCEPS' FURY (CODEX ALERA, #5)",JIM BUTCHER
121,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1350835009M/99452.JPG,316032220,124,1982,4,"OGRE, OGRE (XANTH #5)",PIERS ANTHONY
122,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408500992M/21535019.JPG,451452011,165,2014,4,"THE LONG HAUL (DIARY OF A WIMPY KID, #9)",JEFF KINNEY
123,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331563731M/12938.JPG,679800034,1208,1603,4,KING LEAR,WILLIAM SHAKESPEARE
124,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1481568171M/58893.JPG,141338,123,1999,4,"BRIAR'S BOOK (CIRCLE OF MAGIC, #4)",TAMORA PIERCE
125,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1293807879M/8437913.JPG,129982,142,2010,4,"TICK TOCK (MICHAEL BENNETT, #4)","JAMES PATTERSON, MICHAEL LEDWIDGE"
126,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328876733M/522525.JPG,451219244,139,2007,4,"MISTAKES WERE MADE (BUT NOT BY ME): WHY WE JUSTIFY FOOLISH BELIEFS, BAD DECISIONS, AND HURTFUL ACTS","CAROL TAVRIS, ELLIOT ARONSON"
127,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358758806M/91439.JPG,92125,128,1985,4,THE BEET QUEEN,LOUISE ERDRICH
128,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1282281680M/8575295.JPG,82674,127,2010,4,"WISDOM (MY BLOOD APPROVES, #4)",AMANDA HOCKING
129,0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1357448113M/23960.JPG,394837363,134,2001,4,GLUE,IRVINE WELSH
130,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1379084909M/17348985.JPG,553575422,114,2013,4,HELP FOR THE HAUNTED,JOHN SEARLES
131,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1380903726M/17302495.JPG,804138818,123,2013,4,"ONE TINY LIE (TEN TINY BREATHS, #2)",K.A. TUCKER
132,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1423750824M/23341862.JPG,316036064,111,2015,4,BLACKOUT: REMEMBERING THE THINGS I DRANK TO FORGET,SARAH HEPOLA
133,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329075235M/28695.JPG,87234,126,1996,4,"CITY OF GOLDEN SHADOW (OTHERLAND, #1)",TAD WILLIAMS
134,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1314479487M/55019.JPG,32889,136,1989,4,"BLACK CHERRY BLUES (DAVE ROBICHEAUX, #3)",JAMES LEE BURKE
135,10,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1433115819M/18693621.JPG,312989768,115,2014,4,"DEVIL'S GAME (REAPERS MC, #3)",JOANNA WYLDE
136,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1413479866M/21393526.JPG,866114262,119,2015,4,"MAGONIA (MAGONIA, #1)",MARIA DAHVANA HEADLEY
137,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1400853144M/18316089.JPG,44870,127,2014,3,LUCKY US,AMY BLOOM
138,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327876614M/6660747.JPG,140436111,118,2010,4,ECSTASY UNVEILED (DEMONICA #4),LARISSA IONE
139,2,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329398936M/546018.JPG,440174643,202,1976,4,ROOTS: THE SAGA OF AN AMERICAN FAMILY,ALEX HALEY
140,9,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1480717596M/68429.JPG,765316889,160,2007,4,"THE WELL OF ASCENSION (MISTBORN, #2)",BRANDON SANDERSON
141,6,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1421934033M/7936809.JPG,316069485,177,2010,4,"THE REVERSAL (HARRY BOSCH, #16; MICKEY HALLER, #4; HARRY BOSCH UNIVERSE, #19)",MICHAEL CONNELLY
142,1,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1414130505M/20800147.JPG,786286806,134,2014,4,"HOPE TO DIE (ALEX CROSS, #22)",JAMES PATTERSON
143,4,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1406510508M/426030.JPG,375703713,113,2002,4,THE HEALER (O'MALLEY #5),DEE HENDERSON
144,8,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320396351M/39045.JPG,128282,180,2001,3,I DON'T KNOW HOW SHE DOES IT,ALLISON PEARSON
