,0,genres,image_url,isbn,page_num,pub_year,rating,title,writer
14,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327629352M/162332.JPG,99282968,170,1963,5,THE SAILOR WHO FELL FROM GRACE WITH THE SEA,"YUKIO MISHIMA, JOHN NATHAN"
15,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327132670M/6351939.JPG,216274,124,2009,5,"SEA GLASS (GLASS, #2)",MARIA V. SNYDER
16,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1476942137M/116494.JPG,676979564,138,1978,5,"ANASTASIA KRUPNIK (ANASTASIA KRUPNIK, #1)",LOIS LOWRY
17,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320521960M/849380.JPG,60182989,152,1999,5,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK: A PRACTICAL GUIDE FROM THE COUNTRY'S FOREMOST RELATIONSHIP EXPERT,"JOHN M. GOTTMAN, NAN SILVER"
18,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327353727M/4984.JPG,113425,128,1999,5,BAGOMBO SNUFF BOX,KURT VONNEGUT JR.
19,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1368675679M/12602078.JPG,216138,108,2011,5,"THE TYCOON'S REVENGE (BABY FOR THE BILLIONAIRE, #1)",MELODY ANNE
20,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320443329M/6131786.JPG,679800034,124,2011,5,THE VIRGIN CURE,AMI MCKAY
21,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1429998358M/1011632.JPG,802734375,134,2007,5,MISTER B. GONE,CLIVE BARKER
22,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1421696237M/17901125.JPG,451474473,136,2015,5,"THE MIME ORDER (THE BONE SEASON, #2)",SAMANTHA SHANNON
23,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1323761382M/13178410.JPG,679800034,110,2011,5,"PROPER GAUGE (WOOL, #2)",HUGH HOWEY
24,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1500464823M/31975.JPG,679800034,115,2005,5,"ASTONISHING X-MEN, VOLUME 2: DANGEROUS","JOSS WHEDON, JOHN CASSADAY"
25,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1420836321M/13065327.JPG,26130,125,2013,5,"WILD CARDS (WILD CARDS, #1)",SIMONE ELKELES
26,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1438874868M/22062202.JPG,62320521,114,2016,5,"MARKED IN FLESH (THE OTHERS, #4)",ANNE BISHOP
27,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1355676228M/76248.JPG,385413726,116,1962,5,SHERLOCK HOLMES OF BAKER STREET: A LIFE OF THE WORLD'S FIRST CONSULTING DETECTIVE,WILLIAM S. BARING-GOULD
28,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1424262600M/23341855.JPG,215832,114,2015,5,"RIDE STEADY (CHAOS, #3)",KRISTEN ASHLEY
29,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329259095M/263173.JPG,670026557,119,2005,5,"VAMPIRE KNIGHT, VOL. 2 (VAMPIRE KNIGHT, #2)","MATSURI HINO, TOMO KIMURA"
30,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1413479866M/21393526.JPG,866114262,119,2015,5,"MAGONIA (MAGONIA, #1)",MARIA DAHVANA HEADLEY
31,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328295618M/3559.JPG,34820,131,1989,5,FROM BEIRUT TO JERUSALEM,THOMAS L. FRIEDMAN
32,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1385363364M/18943009.JPG,24360,110,2013,5,"ROCK BOTTOM (TRISTAN & DANIKA, #2)",R.K. LILLEY
33,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356136579M/16158498.JPG,316012386,126,2013,5,GIVE AND TAKE: A REVOLUTIONARY APPROACH TO SUCCESS,ADAM M. GRANT
34,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1292693979M/653559.JPG,33041,105,1977,5,SHERLOCK HOLMES AND THE CASE OF THE HOUND OF THE BASKERVILLES (ILLUSTRATED CLASSIC EDITIONS),"MALVINA G. VOGEL, ARTHUR CONAN DOYLE"
35,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356513050M/16074758.JPG,61779768,118,2013,5,DANGEROUS GIRLS,"ABIGAIL HAAS, ABBY MCDONALD"
36,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1346326152M/61266.JPG,107756,172,1994,5,NOVECENTO. UN MONOLOGO,ALESSANDRO BARICCO
37,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344268460M/53168.JPG,310328179,134,2005,5,"DEMON THIEF (THE DEMONATA, #2)",DARREN SHAN
38,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311705993M/8034188.JPG,718154959,137,2010,5,WHERE GOOD IDEAS COME FROM: THE NATURAL HISTORY OF INNOVATION,STEVEN JOHNSON
39,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1376934009M/18089900.JPG,61458570,119,2014,5,"THE SERPENT OF VENICE (THE FOOL, #2)",CHRISTOPHER MOORE
40,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1330546217M/13010211.JPG,812976525,122,2012,5,"PROMISED (BIRTHMARKED, #3)",CARAGH M. O'BRIEN
41,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1364905830M/16182601.JPG,61935123,109,2013,5,BREAD AND   WINE: A LOVE LETTER TO LIFE AROUND THE TABLE WITH RECIPES,SHAUNA NIEQUIST
42,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1377323978M/10940958.JPG,29529,145,2011,5,"BLUE MONDAY (FRIEDA KLEIN, #1)",NICCI FRENCH
43,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1359981310M/16128105.JPG,60519592,134,2013,5,BIG BROTHER,LIONEL SHRIVER
44,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1350349077M/40465.JPG,811200418,125,1994,5,THANK YOU FOR SMOKING,CHRISTOPHER BUCKLEY
45,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329749855M/12522507.JPG,316197041,132,2012,5,"HIDDEN (FIRELIGHT, #3)",SOPHIE JORDAN
46,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1294870497M/86737.JPG,140344438,152,2002,5,"CITY OF MASKS (STRAVAGANZA, #1)",MARY HOFFMAN
47,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1315537301M/24769.JPG,679800034,133,2006,5,"BLUE NOON (MIDNIGHTERS, #3)",SCOTT WESTERFELD
48,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327958248M/99713.JPG,812998251,110,1958,5,A CONEY ISLAND OF THE MIND,LAWRENCE FERLINGHETTI
49,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1307480317M/11568316.JPG,553807188,118,2011,5,"DREAM DARK (CASTER CHRONICLES, #2.5)","KAMI GARCIA, MARGARET STOHL"
50,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1458976419M/762288.JPG,215084,122,1981,5,NOTHING'S FAIR IN FIFTH GRADE,BARTHE DECLEMENTS
51,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1345851913M/12989112.JPG,679800034,116,2012,5,SUCH A RUSH,JENNIFER ECHOLS
52,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1439942710M/25809756.JPG,345424646,142,2015,5,"SHOPAHOLIC TO THE RESCUE (SHOPAHOLIC, #8)",SOPHIE KINSELLA
53,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320390347M/10196362.JPG,394726251,143,2011,5,THE ACCIDENT,LINWOOD BARCLAY
54,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1453299050M/25912358.JPG,545812542,119,2016,5,A THOUSAND BOY KISSES,TILLIE COLE
55,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328867106M/315882.JPG,316020729,111,2007,5,HENRY'S FREEDOM BOX: A TRUE STORY FROM THE UNDERGROUND RAILROAD,"ELLEN LEVINE, KADIR NELSON"
56,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403811542M/420496.JPG,29512,137,1998,5,"A KNIGHT OF THE WORD (WORD & VOID, #2)",TERRY BROOKS
57,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1321817832M/714380.JPG,312263996,128,1983,5,THE DISCOVERERS: A HISTORY OF MAN'S SEARCH TO KNOW HIS WORLD AND HIMSELF,DANIEL J. BOORSTIN
58,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1423358952M/24612624.JPG,214812,127,2015,5,GEORGE,ALEX GINO
59,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1289520228M/7914058.JPG,679800034,132,2010,5,RESCUE,ANITA SHREVE
60,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1416398307M/1087207.JPG,143038389,116,1999,5,"OURAN HIGH SCHOOL HOST CLUB, VOL. 4 (OURAN HIGH SCHOOL HOST CLUB, #4)",BISCO HATORI
61,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1355142497M/449.JPG,214710,145,1999,5,TIMBUKTU,PAUL AUSTER
62,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1381840319M/18680106.JPG,48580,112,2013,5,"HARD AS IT GETS (HARD INK, #1)",LAURA KAYE
63,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1414166935M/625603.JPG,758272820,128,2006,5,HORUS RISING,DAN ABNETT
64,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1349807862M/236862.JPG,65892,122,2006,5,"DEATH WITHOUT COMPANY (WALT LONGMIRE, #2)",CRAIG JOHNSON
65,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1273235556M/6395833.JPG,385669852,102,2004,5,GUTS,CHUCK PALAHNIUK
66,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1458533580M/25813921.JPG,679800034,132,2016,5,"GRIT: PASSION, PERSEVERANCE, AND THE SCIENCE OF SUCCESS",ANGELA DUCKWORTH
67,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329524396M/12977172.JPG,214506,113,2012,5,"SPARK (ELEMENTAL, #2)",BRIGID KEMMERER
68,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1283561989M/655601.JPG,749908904,122,2006,5,"DIVINE MADNESS (CHERUB, #5)",ROBERT MUCHAMORE
69,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320547877M/9639197.JPG,425098605,141,2011,5,TURN OF MIND,ALICE LAPLANTE
70,,ADVENTURE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1288930844M/12017.JPG,214404,125,1998,5,"INVERSIONS (CULTURE, #6)",IAIN M. BANKS
71,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1405104324M/16081202.JPG,307381269,111,2014,5,OPEN ROAD SUMMER,EMERY LORD
72,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328026886M/2494204.JPG,545310032,145,2008,5,"SALVATION IN DEATH (IN DEATH, #27)",J.D. ROBB
73,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1350747881M/481335.JPG,43325,158,1977,5,THE VISION,DEAN KOONTZ
74,,ADVENTURE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1417712844M/22923997.JPG,36372,115,2015,5,"OVERRULED (THE LEGAL BRIEFS, #1)",EMMA CHASE
75,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320449273M/503248.JPG,440863686,121,2007,5,MY LOBOTOMY,"HOWARD DULLY, CHARLES FLEMING"
76,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1302009711M/10473214.JPG,385741774,111,2011,5,"13 GIFTS (WILLOW FALLS, #3)",WENDY MASS
77,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327879369M/8682579.JPG,62183591,153,2011,5,I'LL WALK ALONE,MARY HIGGINS CLARK
78,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1396118779M/18367581.JPG,214132,124,2014,5,AFTERWORLDS (AFTERWORLDS #1),SCOTT WESTERFELD
79,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320392229M/511684.JPG,670076082,140,1999,5,THE ILLUSTRATED MUM,"JACQUELINE WILSON, NICK SHARRATT"
80,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331322901M/11721314.JPG,60959681,117,2012,5,MEANT TO BE,LAUREN MORRILL
81,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331070373M/13426114.JPG,545208874,152,2012,5,THE HONEST TRUTH ABOUT DISHONESTY: HOW WE LIE TO EVERYONE - ESPECIALLY OURSELVES,DAN ARIELY
82,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1418027077M/536790.JPG,213996,146,1985,5,"TRUMPS OF DOOM (THE CHRONICLES OF AMBER, #6)",ROGER ZELAZNY
83,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1306866851M/10165727.JPG,380712040,122,2011,5,"FROI OF THE EXILES (LUMATERE CHRONICLES, #2)",MELINA MARCHETTA
84,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1410138626M/64794.JPG,60892056,132,1979,5,DANCING WU LI MASTERS: AN OVERVIEW OF THE NEW PHYSICS (PERENNIAL CLASSICS),GARY ZUKAV
85,,ADVENTURE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1422047373M/10537195.JPG,213894,113,2011,5,"THE LAST COUNCIL (AMULET, #4)",KAZU KIBUISHI
86,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1423155390M/24480276.JPG,517086034,145,2015,5,THE VERSIONS OF US,LAURA  BARNETT
87,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1314479487M/55019.JPG,32889,136,1989,5,"BLACK CHERRY BLUES (DAVE ROBICHEAUX, #3)",JAMES LEE BURKE
88,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1363489306M/1231511.JPG,140297995,131,2007,5,"DARK RIVER (WARRIORS: POWER OF THREE, #2)",ERIN HUNTER
89,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1417410330M/114170.JPG,20760,137,1993,5,"THEN CAME YOU (THE GAMBLERS, #1)",LISA KLEYPAS
90,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358551536M/61938.JPG,307397874,133,1990,5,"THE ROWAN (THE TOWER AND THE HIVE, #1)",ANNE MCCAFFREY
91,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1418105485M/2505836.JPG,142408654,122,2006,5,"MONEY, AND THE LAW OF ATTRACTION: LEARNING TO ATTRACT WEALTH, HEALTH, AND HAPPINESS","ESTHER HICKS, JERRY HICKS"
92,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327920142M/88442.JPG,752837214,147,2001,5,AUSTERLITZ,"W.G. SEBALD, ANTHEA BELL"
93,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328073906M/64394.JPG,91637,151,1961,5,"THE STAINLESS STEEL RAT (STAINLESS STEEL RAT, #4)",HARRY HARRISON
94,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320430211M/4772110.JPG,679824243,177,2009,5,NOCTURNES: FIVE STORIES OF MUSIC AND NIGHTFALL,KAZUO ISHIGURO
95,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311649247M/714569.JPG,60874198,129,1981,5,A COUNTESS BELOW STAIRS,EVA IBBOTSON
96,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344275927M/50051.JPG,34540,134,1966,5,THE LAST PICTURE SHOW,LARRY MCMURTRY
97,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1444683708M/26771521.JPG,22438,110,2015,5,"BEACON 23: THE COMPLETE NOVEL (BEACON 23, #1-5)",HUGH HOWEY
98,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403192895M/268955.JPG,213452,153,2013,5,"MUMMIES IN THE MORNING (MAGIC TREE HOUSE, #3)","MARY POPE OSBORNE, SALVATORE MURDOCCA"
99,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1355870076M/5266667.JPG,385327900,122,2008,5,A KISS IN TIME,ALEX FLINN
100,,ADVENTURE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403422027M/690955.JPG,307720659,111,2005,5,BAD KITTY,NICK BRUEL
101,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1317879553M/784222.JPG,6640613,119,2006,5,"VAMPIRE KNIGHT, VOL. 3 (VAMPIRE KNIGHT, #3)","MATSURI HINO, TOMO KIMURA"
102,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1431492647M/17563539.JPG,345533232,108,2009,5,THE EGG,ANDY WEIR
103,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1441688212M/36638.JPG,213282,148,1962,5,"THE WOLVES OF WILLOUGHBY CHASE (THE WOLVES CHRONICLES, #1)","JOAN AIKEN, PAT MARRIOTT"
104,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1405292426M/20685373.JPG,439858054,118,2014,5,"WITHOUT YOU, THERE IS NO US: MY TIME WITH THE SONS OF NORTH KOREA'S ELITE",SUKI KIM
105,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1369858732M/1099097.JPG,50025,141,1968,5,THE TIGER WHO CAME TO TEA,JUDITH KERR
106,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328116176M/13360101.JPG,525426035,122,2012,5,"NEVER SEDUCE A SCOT (THE MONTGOMERYS AND ARMSTRONGS, #1)",MAYA BANKS
107,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358952957M/17235347.JPG,553582798,113,2012,5,"LIFE BEFORE LEGEND: STORIES OF THE CRIMINAL AND THE PRODIGY (LEGEND, #0.5)",MARIE LU
108,,SCIENCE,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331588583M/71867.JPG,525952241,143,1999,5,"THE OTHER SIDE OF DAWN (TOMORROW, #7)",JOHN MARSDEN
109,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1430176879M/24019187.JPG,94820,112,2015,5,HUMANS OF NEW YORK: STORIES,BRANDON STANTON
110,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1373059909M/18079719.JPG,213044,124,2014,5,GRASSHOPPER JUNGLE,ANDREW  SMITH
111,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1367533032M/72855.JPG,43075,121,2002,5,"LAKE IN THE CLOUDS (WILDERNESS, #3)",SARA DONATI
112,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311704972M/10111087.JPG,544303164,123,2011,5,TURN RIGHT AT MACHU PICCHU: REDISCOVERING THE LOST CITY ONE STEP AT A TIME,MARK    ADAMS
113,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1332504951M/12413949.JPG,744592704,111,2012,5,WHITE GIRL PROBLEMS,BABE WALKER
114,,CRIME,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1363602953M/17257484.JPG,974461229,113,2013,5,TROUBLE,SAMANTHA TOWLE
115,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1406507237M/359463.JPG,61229695,128,1999,5,DANGER IN THE SHADOWS (O'MALLEY #0.5),DEE HENDERSON
116,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408469614M/22749750.JPG,212840,112,2015,5,THE TURNER HOUSE,ANGELA FLOURNOY
117,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408930554M/716944.JPG,307460444,151,1975,5,OWL BABIES,"MARTIN WADDELL, PATRICK BENSON"
118,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328765892M/245700.JPG,679800034,104,2003,5,THE ART OF AMY BROWN,"AMY BROWN, CHARLES  DE LINT"
119,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1351280934M/1422250.JPG,22373,122,2008,5,VAMPIRES ARE FOREVER (ARGENEAU #8),LYNSAY SANDS
120,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1467960990M/30364931.JPG,99465647,107,2016,5,NEIGHBOR DEAREST,PENELOPE WARD
121,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320443899M/5103512.JPG,62101315,105,2009,5,MARTHA STEWART'S CUPCAKES: 175 INSPIRED IDEAS FOR EVERYONE'S FAVORITE TREAT,MARTHA STEWART
122,,BIOGRAPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327008722M/513207.JPG,399153942,122,1994,5,"CHAMPIONS OF THE FORCE (STAR WARS: THE JEDI ACADEMY TRILOGY, #3)",KEVIN J. ANDERSON
123,,HORROR,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328750860M/97408.JPG,56760,112,2004,5,PERFECT,NATASHA FRIEND
124,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1395082866M/311196.JPG,671027581,144,1965,5,FREDERICA,GEORGETTE HEYER
125,,YOUNGADULT,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328313295M/10518110.JPG,230711251,115,2011,5,"THE BITE BEFORE CHRISTMAS (ARGENEAU, #15.5; NIGHT HUNTRESS, #6.5)","LYNSAY SANDS, JEANIENE FROST"
126,,HISTORY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309198395M/109509.JPG,394865707,172,2006,5,THE AFGHAN,FREDERICK FORSYTH
127,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1398947518M/21981841.JPG,307977935,112,2015,5,"CORRUPT (DEVIL'S NIGHT, #1)","PENELOPE DOUGLAS, JEREMY YORK, TATIANA SOKOLOV"
128,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1324869940M/420734.JPG,735814864,138,2001,5,OPEN SEASON,LINDA HOWARD
129,,SCIENCEFICTION,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1272182205M/7027569.JPG,778324109,140,2010,5,"HEARTSTONE (MATTHEW SHARDLAKE, #5)",C.J. SANSOM
130,,PHILOSOPHY,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1457297865M/201138.JPG,7154615,113,1984,5,THE BERENSTAIN BEARS AND TOO MUCH TV,"STAN BERENSTAIN, JAN BERENSTAIN"
131,,TRAVEL,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1343071412M/15766776.JPG,393321983,111,2013,5,RUMP: THE TRUE STORY OF RUMPELSTILTSKIN,LIESL SHURTLIFF
132,,CLASSIC,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1393792231M/209631.JPG,385539584,105,1812,5,CINDERELLA,"LOEK KOOPMANS, CHARLES PERRAULT, ANTHEA BELL"
