book_id,title,writer,genres,page_num,pub_year,rating,isbn,image_url
30,"MAGONIA (MAGONIA, #1)",MARIA DAHVANA HEADLEY,SCIENCEFICTION,119,2015,5,866114262,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1413479866M/21393526.JPG
31,FROM BEIRUT TO JERUSALEM,THOMAS L. FRIEDMAN,HORROR,131,1989,5,34820,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328295618M/3559.JPG
32,"ROCK BOTTOM (TRISTAN & DANIKA, #2)",R.K. LILLEY,TRAVEL,110,2013,5,24360,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1385363364M/18943009.JPG
33,GIVE AND TAKE: A REVOLUTIONARY APPROACH TO SUCCESS,ADAM M. GRANT,CLASSIC,126,2013,5,316012386,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356136579M/16158498.JPG
34,SHERLOCK HOLMES AND THE CASE OF THE HOUND OF THE BASKERVILLES (ILLUSTRATED CLASSIC EDITIONS),"MALVINA G. VOGEL, ARTHUR CONAN DOYLE",SCIENCE,105,1977,5,33041,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1292693979M/653559.JPG
35,DANGEROUS GIRLS,"ABIGAIL HAAS, ABBY MCDONALD",CLASSIC,118,2013,5,61779768,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356513050M/16074758.JPG
36,NOVECENTO. UN MONOLOGO,ALESSANDRO BARICCO,CLASSIC,172,1994,5,107756,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1346326152M/61266.JPG
37,"DEMON THIEF (THE DEMONATA, #2)",DARREN SHAN,HORROR,134,2005,5,310328179,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344268460M/53168.JPG
38,WHERE GOOD IDEAS COME FROM: THE NATURAL HISTORY OF INNOVATION,STEVEN JOHNSON,SCIENCEFICTION,137,2010,5,718154959,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311705993M/8034188.JPG
39,"THE SERPENT OF VENICE (THE FOOL, #2)",CHRISTOPHER MOORE,SCIENCE,119,2014,5,61458570,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1376934009M/18089900.JPG
40,"PROMISED (BIRTHMARKED, #3)",CARAGH M. O'BRIEN,CRIME,122,2012,5,812976525,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1330546217M/13010211.JPG
41,BREAD AND   WINE: A LOVE LETTER TO LIFE AROUND THE TABLE WITH RECIPES,SHAUNA NIEQUIST,SCIENCE,109,2013,5,61935123,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1364905830M/16182601.JPG
42,"BLUE MONDAY (FRIEDA KLEIN, #1)",NICCI FRENCH,PHILOSOPHY,145,2011,5,29529,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1377323978M/10940958.JPG
43,BIG BROTHER,LIONEL SHRIVER,SCIENCE,134,2013,5,60519592,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1359981310M/16128105.JPG
44,THANK YOU FOR SMOKING,CHRISTOPHER BUCKLEY,YOUNGADULT,125,1994,5,811200418,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1350349077M/40465.JPG
45,"HIDDEN (FIRELIGHT, #3)",SOPHIE JORDAN,BIOGRAPHY,132,2012,5,316197041,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329749855M/12522507.JPG
46,"CITY OF MASKS (STRAVAGANZA, #1)",MARY HOFFMAN,YOUNGADULT,152,2002,5,140344438,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1294870497M/86737.JPG
47,"BLUE NOON (MIDNIGHTERS, #3)",SCOTT WESTERFELD,TRAVEL,133,2006,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1315537301M/24769.JPG
48,A CONEY ISLAND OF THE MIND,LAWRENCE FERLINGHETTI,HISTORY,110,1958,5,812998251,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327958248M/99713.JPG
49,"DREAM DARK (CASTER CHRONICLES, #2.5)","KAMI GARCIA, MARGARET STOHL",SCIENCE,118,2011,5,553807188,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1307480317M/11568316.JPG
50,NOTHING'S FAIR IN FIFTH GRADE,BARTHE DECLEMENTS,CRIME,122,1981,5,215084,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1458976419M/762288.JPG
51,SUCH A RUSH,JENNIFER ECHOLS,PHILOSOPHY,116,2012,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1345851913M/12989112.JPG
52,"SHOPAHOLIC TO THE RESCUE (SHOPAHOLIC, #8)",SOPHIE KINSELLA,YOUNGADULT,142,2015,5,345424646,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1439942710M/25809756.JPG
53,THE ACCIDENT,LINWOOD BARCLAY,SCIENCE,143,2011,5,394726251,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320390347M/10196362.JPG
54,A THOUSAND BOY KISSES,TILLIE COLE,HISTORY,119,2016,5,545812542,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1453299050M/25912358.JPG
55,HENRY'S FREEDOM BOX: A TRUE STORY FROM THE UNDERGROUND RAILROAD,"ELLEN LEVINE, KADIR NELSON",SCIENCE,111,2007,5,316020729,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328867106M/315882.JPG
56,"A KNIGHT OF THE WORD (WORD & VOID, #2)",TERRY BROOKS,PHILOSOPHY,137,1998,5,29512,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403811542M/420496.JPG
57,THE DISCOVERERS: A HISTORY OF MAN'S SEARCH TO KNOW HIS WORLD AND HIMSELF,DANIEL J. BOORSTIN,BIOGRAPHY,128,1983,5,312263996,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1321817832M/714380.JPG
58,GEORGE,ALEX GINO,BIOGRAPHY,127,2015,5,214812,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1423358952M/24612624.JPG
59,RESCUE,ANITA SHREVE,PHILOSOPHY,132,2010,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1289520228M/7914058.JPG
60,"OURAN HIGH SCHOOL HOST CLUB, VOL. 4 (OURAN HIGH SCHOOL HOST CLUB, #4)",BISCO HATORI,CLASSIC,116,1999,5,143038389,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1416398307M/1087207.JPG
61,TIMBUKTU,PAUL AUSTER,TRAVEL,145,1999,5,214710,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1355142497M/449.JPG
62,"HARD AS IT GETS (HARD INK, #1)",LAURA KAYE,SCIENCEFICTION,112,2013,5,48580,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1381840319M/18680106.JPG
63,HORUS RISING,DAN ABNETT,TRAVEL,128,2006,5,758272820,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1414166935M/625603.JPG
64,"DEATH WITHOUT COMPANY (WALT LONGMIRE, #2)",CRAIG JOHNSON,CRIME,122,2006,5,65892,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1349807862M/236862.JPG
65,GUTS,CHUCK PALAHNIUK,SCIENCE,102,2004,5,385669852,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1273235556M/6395833.JPG
66,"GRIT: PASSION, PERSEVERANCE, AND THE SCIENCE OF SUCCESS",ANGELA DUCKWORTH,BIOGRAPHY,132,2016,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1458533580M/25813921.JPG
67,"SPARK (ELEMENTAL, #2)",BRIGID KEMMERER,SCIENCE,113,2012,5,214506,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329524396M/12977172.JPG
68,"DIVINE MADNESS (CHERUB, #5)",ROBERT MUCHAMORE,HISTORY,122,2006,5,749908904,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1283561989M/655601.JPG
69,TURN OF MIND,ALICE LAPLANTE,HORROR,141,2011,5,425098605,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320547877M/9639197.JPG
70,"INVERSIONS (CULTURE, #6)",IAIN M. BANKS,ADVENTURE,125,1998,5,214404,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1288930844M/12017.JPG
71,OPEN ROAD SUMMER,EMERY LORD,YOUNGADULT,111,2014,5,307381269,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1405104324M/16081202.JPG
72,"SALVATION IN DEATH (IN DEATH, #27)",J.D. ROBB,SCIENCEFICTION,145,2008,5,545310032,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328026886M/2494204.JPG
73,THE VISION,DEAN KOONTZ,CRIME,158,1977,5,43325,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1350747881M/481335.JPG
74,"OVERRULED (THE LEGAL BRIEFS, #1)",EMMA CHASE,ADVENTURE,115,2015,5,36372,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1417712844M/22923997.JPG
75,MY LOBOTOMY,"HOWARD DULLY, CHARLES FLEMING",SCIENCEFICTION,121,2007,5,440863686,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320449273M/503248.JPG
76,"13 GIFTS (WILLOW FALLS, #3)",WENDY MASS,HORROR,111,2011,5,385741774,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1302009711M/10473214.JPG
77,I'LL WALK ALONE,MARY HIGGINS CLARK,HISTORY,153,2011,5,62183591,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327879369M/8682579.JPG
78,AFTERWORLDS (AFTERWORLDS #1),SCOTT WESTERFELD,SCIENCE,124,2014,5,214132,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1396118779M/18367581.JPG
79,THE ILLUSTRATED MUM,"JACQUELINE WILSON, NICK SHARRATT",BIOGRAPHY,140,1999,5,670076082,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320392229M/511684.JPG
80,MEANT TO BE,LAUREN MORRILL,TRAVEL,117,2012,5,60959681,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331322901M/11721314.JPG
81,THE HONEST TRUTH ABOUT DISHONESTY: HOW WE LIE TO EVERYONE - ESPECIALLY OURSELVES,DAN ARIELY,SCIENCE,152,2012,5,545208874,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331070373M/13426114.JPG
82,"TRUMPS OF DOOM (THE CHRONICLES OF AMBER, #6)",ROGER ZELAZNY,HORROR,146,1985,5,213996,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1418027077M/536790.JPG
83,"FROI OF THE EXILES (LUMATERE CHRONICLES, #2)",MELINA MARCHETTA,PHILOSOPHY,122,2011,5,380712040,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1306866851M/10165727.JPG
84,DANCING WU LI MASTERS: AN OVERVIEW OF THE NEW PHYSICS (PERENNIAL CLASSICS),GARY ZUKAV,SCIENCEFICTION,132,1979,5,60892056,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1410138626M/64794.JPG
85,"THE LAST COUNCIL (AMULET, #4)",KAZU KIBUISHI,ADVENTURE,113,2011,5,213894,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1422047373M/10537195.JPG
86,THE VERSIONS OF US,LAURA  BARNETT,SCIENCE,145,2015,5,517086034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1423155390M/24480276.JPG
87,"BLACK CHERRY BLUES (DAVE ROBICHEAUX, #3)",JAMES LEE BURKE,PHILOSOPHY,136,1989,5,32889,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1314479487M/55019.JPG
88,"DARK RIVER (WARRIORS: POWER OF THREE, #2)",ERIN HUNTER,HORROR,131,2007,5,140297995,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1363489306M/1231511.JPG
89,"THEN CAME YOU (THE GAMBLERS, #1)",LISA KLEYPAS,PHILOSOPHY,137,1993,5,20760,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1417410330M/114170.JPG
90,"THE ROWAN (THE TOWER AND THE HIVE, #1)",ANNE MCCAFFREY,CRIME,133,1990,5,307397874,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358551536M/61938.JPG
91,"MONEY, AND THE LAW OF ATTRACTION: LEARNING TO ATTRACT WEALTH, HEALTH, AND HAPPINESS","ESTHER HICKS, JERRY HICKS",TRAVEL,122,2006,5,142408654,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1418105485M/2505836.JPG
92,AUSTERLITZ,"W.G. SEBALD, ANTHEA BELL",YOUNGADULT,147,2001,5,752837214,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327920142M/88442.JPG
93,"THE STAINLESS STEEL RAT (STAINLESS STEEL RAT, #4)",HARRY HARRISON,CRIME,151,1961,5,91637,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328073906M/64394.JPG
94,NOCTURNES: FIVE STORIES OF MUSIC AND NIGHTFALL,KAZUO ISHIGURO,HISTORY,177,2009,5,679824243,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320430211M/4772110.JPG
95,A COUNTESS BELOW STAIRS,EVA IBBOTSON,YOUNGADULT,129,1981,5,60874198,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311649247M/714569.JPG
96,THE LAST PICTURE SHOW,LARRY MCMURTRY,YOUNGADULT,134,1966,5,34540,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344275927M/50051.JPG
97,"BEACON 23: THE COMPLETE NOVEL (BEACON 23, #1-5)",HUGH HOWEY,SCIENCE,110,2015,5,22438,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1444683708M/26771521.JPG
98,"MUMMIES IN THE MORNING (MAGIC TREE HOUSE, #3)","MARY POPE OSBORNE, SALVATORE MURDOCCA",SCIENCEFICTION,153,2013,5,213452,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403192895M/268955.JPG
99,A KISS IN TIME,ALEX FLINN,SCIENCE,122,2008,5,385327900,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1355870076M/5266667.JPG
100,BAD KITTY,NICK BRUEL,ADVENTURE,111,2005,5,307720659,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403422027M/690955.JPG
101,"VAMPIRE KNIGHT, VOL. 3 (VAMPIRE KNIGHT, #3)","MATSURI HINO, TOMO KIMURA",TRAVEL,119,2006,5,6640613,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1317879553M/784222.JPG
102,THE EGG,ANDY WEIR,PHILOSOPHY,108,2009,5,345533232,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1431492647M/17563539.JPG
103,"THE WOLVES OF WILLOUGHBY CHASE (THE WOLVES CHRONICLES, #1)","JOAN AIKEN, PAT MARRIOTT",SCIENCE,148,1962,5,213282,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1441688212M/36638.JPG
104,"WITHOUT YOU, THERE IS NO US: MY TIME WITH THE SONS OF NORTH KOREA'S ELITE",SUKI KIM,YOUNGADULT,118,2014,5,439858054,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1405292426M/20685373.JPG
105,THE TIGER WHO CAME TO TEA,JUDITH KERR,HORROR,141,1968,5,50025,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1369858732M/1099097.JPG
106,"NEVER SEDUCE A SCOT (THE MONTGOMERYS AND ARMSTRONGS, #1)",MAYA BANKS,CLASSIC,122,2012,5,525426035,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328116176M/13360101.JPG
107,"LIFE BEFORE LEGEND: STORIES OF THE CRIMINAL AND THE PRODIGY (LEGEND, #0.5)",MARIE LU,HISTORY,113,2012,5,553582798,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358952957M/17235347.JPG
108,"THE OTHER SIDE OF DAWN (TOMORROW, #7)",JOHN MARSDEN,SCIENCE,143,1999,5,525952241,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331588583M/71867.JPG
109,HUMANS OF NEW YORK: STORIES,BRANDON STANTON,YOUNGADULT,112,2015,5,94820,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1430176879M/24019187.JPG
110,GRASSHOPPER JUNGLE,ANDREW  SMITH,HORROR,124,2014,5,213044,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1373059909M/18079719.JPG
111,"LAKE IN THE CLOUDS (WILDERNESS, #3)",SARA DONATI,BIOGRAPHY,121,2002,5,43075,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1367533032M/72855.JPG
112,TURN RIGHT AT MACHU PICCHU: REDISCOVERING THE LOST CITY ONE STEP AT A TIME,MARK    ADAMS,PHILOSOPHY,123,2011,5,544303164,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1311704972M/10111087.JPG
113,WHITE GIRL PROBLEMS,BABE WALKER,CRIME,111,2012,5,744592704,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1332504951M/12413949.JPG
114,TROUBLE,SAMANTHA TOWLE,CRIME,113,2013,5,974461229,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1363602953M/17257484.JPG
115,DANGER IN THE SHADOWS (O'MALLEY #0.5),DEE HENDERSON,HISTORY,128,1999,5,61229695,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1406507237M/359463.JPG
116,THE TURNER HOUSE,ANGELA FLOURNOY,HISTORY,112,2015,5,212840,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408469614M/22749750.JPG
117,OWL BABIES,"MARTIN WADDELL, PATRICK BENSON",YOUNGADULT,151,1975,5,307460444,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408930554M/716944.JPG
118,THE ART OF AMY BROWN,"AMY BROWN, CHARLES  DE LINT",HISTORY,104,2003,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328765892M/245700.JPG
119,VAMPIRES ARE FOREVER (ARGENEAU #8),LYNSAY SANDS,SCIENCEFICTION,122,2008,5,22373,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1351280934M/1422250.JPG
120,NEIGHBOR DEAREST,PENELOPE WARD,SCIENCEFICTION,107,2016,5,99465647,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1467960990M/30364931.JPG
121,MARTHA STEWART'S CUPCAKES: 175 INSPIRED IDEAS FOR EVERYONE'S FAVORITE TREAT,MARTHA STEWART,CLASSIC,105,2009,5,62101315,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320443899M/5103512.JPG
122,"CHAMPIONS OF THE FORCE (STAR WARS: THE JEDI ACADEMY TRILOGY, #3)",KEVIN J. ANDERSON,BIOGRAPHY,122,1994,5,399153942,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327008722M/513207.JPG
123,PERFECT,NATASHA FRIEND,HORROR,112,2004,5,56760,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328750860M/97408.JPG
124,FREDERICA,GEORGETTE HEYER,YOUNGADULT,144,1965,5,671027581,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1395082866M/311196.JPG
125,"THE BITE BEFORE CHRISTMAS (ARGENEAU, #15.5; NIGHT HUNTRESS, #6.5)","LYNSAY SANDS, JEANIENE FROST",YOUNGADULT,115,2011,5,230711251,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328313295M/10518110.JPG
126,THE AFGHAN,FREDERICK FORSYTH,HISTORY,172,2006,5,394865707,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309198395M/109509.JPG
127,"CORRUPT (DEVIL'S NIGHT, #1)","PENELOPE DOUGLAS, JEREMY YORK, TATIANA SOKOLOV",SCIENCEFICTION,112,2015,5,307977935,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1398947518M/21981841.JPG
128,OPEN SEASON,LINDA HOWARD,CLASSIC,138,2001,5,735814864,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1324869940M/420734.JPG
129,"HEARTSTONE (MATTHEW SHARDLAKE, #5)",C.J. SANSOM,SCIENCEFICTION,140,2010,5,778324109,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1272182205M/7027569.JPG
130,THE BERENSTAIN BEARS AND TOO MUCH TV,"STAN BERENSTAIN, JAN BERENSTAIN",PHILOSOPHY,113,1984,5,7154615,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1457297865M/201138.JPG
131,RUMP: THE TRUE STORY OF RUMPELSTILTSKIN,LIESL SHURTLIFF,TRAVEL,111,2013,5,393321983,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1343071412M/15766776.JPG
132,CINDERELLA,"LOEK KOOPMANS, CHARLES PERRAULT, ANTHEA BELL",CLASSIC,105,1812,5,385539584,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1393792231M/209631.JPG
133,"SILENT IN THE GRAVE (LADY JULIA GREY, #1)",DEANNA RAYBOURN,CLASSIC,134,2006,5,58412,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1483424891M/267869.JPG
134,UNLESS,CAROL SHIELDS,SCIENCEFICTION,154,2002,5,553379011,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327970989M/74462.JPG
