,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,writer,isbn,page_num,pub_year,rating,image_url,genres
23,23,23,23,"HARRY POTTER AND THE GOBLET OF FIRE (HARRY POTTER, #4)","J.K. ROWLING, MARY GRANDPRÉ",439139600,432,2000.0,5.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361482611M/6.JPG,PHILOSOPHY
24,24,24,24,"HARRY POTTER AND THE DEATHLY HALLOWS (HARRY POTTER, #7)","J.K. ROWLING, MARY GRANDPRÉ",545010225,363,2007.0,5.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1474171184M/136251.JPG,PHILOSOPHY
25,25,25,25,"THE DA VINCI CODE (ROBERT LANGDON, #2)",DAN BROWN,307277674,450,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1303252999M/968.JPG,CRIME
26,26,26,26,"HARRY POTTER AND THE HALF-BLOOD PRINCE (HARRY POTTER, #6)","J.K. ROWLING, MARY GRANDPRÉ",439785960,375,2005.0,5.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361039191M/1.JPG,SCIENCE
27,27,27,27,LORD OF THE FLIES,WILLIAM GOLDING,140283331,558,1954.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327869409M/7624.JPG,HORROR
28,28,28,28,ROMEO AND JULIET,"WILLIAM SHAKESPEARE, ROBERT           JACKSON",743477111,2037,1595.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327872146M/18135.JPG,HORROR
29,29,29,29,GONE GIRL,GILLIAN FLYNN,297859382,296,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1339602131M/8442457.JPG,SCIENCE
30,30,30,30,THE HELP,KATHRYN STOCKETT,399155341,283,2009.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1346100365M/4667024.JPG,CLASSIC
31,31,31,31,OF MICE AND MEN,JOHN STEINBECK,142000671,473,1937.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1437235233M/890.JPG,CRIME
32,32,32,32,MEMOIRS OF A GEISHA,ARTHUR GOLDEN,739326228,320,1997.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,HORROR
33,33,33,33,"FIFTY SHADES OF GREY (FIFTY SHADES, #1)",E.L. JAMES,1612130291,269,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1385207843M/10818853.JPG,BIOGRAPHY
34,34,34,34,THE ALCHEMIST,"PAULO COELHO, ALAN R. CLARKE",61122416,558,1988.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1483412266M/865.JPG,YOUNGADULT
35,35,35,35,"THE GIVER (THE GIVER, #1)",LOIS LOWRY,385732554,292,1993.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1342493368M/3636.JPG,BIOGRAPHY
36,36,36,36,"THE LION, THE WITCH, AND THE WARDROBE (CHRONICLES OF NARNIA, #1)",C.S. LEWIS,60764899,574,1950.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1353029077M/100915.JPG,CRIME
37,37,37,37,THE TIME TRAVELER'S WIFE,AUDREY NIFFENEGGER,965818675,267,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1437728815M/14050.JPG,YOUNGADULT
38,38,38,38,"A GAME OF THRONES (A SONG OF ICE AND FIRE, #1)",GEORGE R.R. MARTIN,553588486,201,1996.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1436732693M/13496.JPG,TEXTBOOK
39,39,39,39,"EAT, PRAY, LOVE",ELIZABETH GILBERT,143038419,285,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1503066414M/19501.JPG,SCIENCE
40,40,40,40,"THE LIGHTNING THIEF (PERCY JACKSON AND THE OLYMPIANS, #1)",RICK RIORDAN,786838655,259,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1400602609M/28187.JPG,BIOGRAPHY
41,41,41,41,"LITTLE WOMEN (LITTLE WOMEN, #1)",LOUISA MAY ALCOTT,451529308,1807,1868.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,CRIME
42,42,42,42,JANE EYRE,"CHARLOTTE BRONTË, MICHAEL MASON",142437204,2668,1847.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327867269M/10210.JPG,BIOGRAPHY
43,43,43,43,"THE NOTEBOOK (THE NOTEBOOK, #1)",NICHOLAS SPARKS,553816713,290,1996.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1385738917M/15931.JPG,SCIENCEFICTION
44,44,44,44,LIFE OF PI,YANN MARTEL,770430074,364,2001.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320562005M/4214.JPG,SCIENCEFICTION
45,45,45,45,WATER FOR ELEPHANTS,SARA GRUEN,1565125606,228,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1494428973M/43641.JPG,YOUNGADULT
46,46,46,46,THE BOOK THIEF,MARKUS ZUSAK,375831002,351,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1390053681M/19063.JPG,CRIME
47,47,47,47,FAHRENHEIT 451,RAY BRADBURY,307347974,607,1953.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1351643740M/4381.JPG,HISTORY
48,48,48,48,"NEW MOON (TWILIGHT, #2)",STEPHENIE MEYER,316160199,294,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361039440M/49041.JPG,BIOGRAPHY
49,49,49,49,WHERE THE SIDEWALK ENDS,SHEL SILVERSTEIN,60513039,145,1974.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1168052448M/30119.JPG,TRAVEL
50,50,50,50,"CITY OF BONES (THE MORTAL INSTRUMENTS, #1)",CASSANDRA CLARE,1416914285,278,2007.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1432730315M/256683.JPG,HISTORY
51,51,51,51,"ECLIPSE (TWILIGHT, #3)",STEPHENIE MEYER,316160202,285,2007.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361038355M/428263.JPG,SCIENCE
52,52,52,52,"ERAGON (THE INHERITANCE CYCLE, #1)",CHRISTOPHER PAOLINI,375826696,317,2002.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1366212852M/113436.JPG,HISTORY
53,53,53,53,"THE HITCHHIKER'S GUIDE TO THE GALAXY (HITCHHIKER'S GUIDE TO THE GALAXY, #1)",DOUGLAS ADAMS,345391802,357,1979.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327656754M/11.JPG,HORROR
54,54,54,54,BRAVE NEW WORLD,ALDOUS HUXLEY,60929871,615,1932.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1487389574M/5129.JPG,SCIENCE
55,55,55,55,"BREAKING DAWN (TWILIGHT, #4)",STEPHENIE MEYER,031606792X,283,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1361039438M/1162543.JPG,SCIENCE
56,56,56,56,THE SECRET LIFE OF BEES,SUE MONK KIDD,142001740,225,2001.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1473454532M/37435.JPG,SCIENCEFICTION
57,57,57,57,THE ADVENTURES OF HUCKLEBERRY FINN,"MARK TWAIN, JOHN SEELYE, GUY CARDWELL",142437174,2377,1884.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1405973850M/2956.JPG,CLASSIC
58,58,58,58,CHARLOTTE'S WEB,"E.B. WHITE, GARTH WILLIAMS, ROSEMARY WELLS",64410935,280,1952.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1439632243M/24178.JPG,CLASSIC
59,59,59,59,THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,MARK HADDON,1400032717,283,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1479863624M/1618.JPG,TRAVEL
60,60,60,60,THE GIRL ON THE TRAIN,PAULA HAWKINS,1594633665,114,2015.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1490903702M/22557272.JPG,CRIME
61,61,61,61,"THE GOLDEN COMPASS (HIS DARK MATERIALS, #1)",PHILIP PULLMAN,679879242,387,1995.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1451271747M/119322.JPG,HISTORY
62,62,62,62,WUTHERING HEIGHTS,"EMILY BRONTË, RICHARD J. DUNN",393978893,2598,1847.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCEFICTION
63,63,63,63,MY SISTER'S KEEPER,JODI PICOULT,743454537,225,2004.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1369504683M/10917.JPG,SCIENCE
64,64,64,64,SLAUGHTERHOUSE-FIVE,KURT VONNEGUT JR.,385333846,341,1969.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1440319389M/4981.JPG,BIOGRAPHY
65,65,65,65,GONE WITH THE WIND,MARGARET MITCHELL,446675539,509,1936.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328025229M/18405.JPG,SCIENCE
66,66,66,66,A THOUSAND SPLENDID SUNS,KHALED HOSSEINI,1594489505,297,2007.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1345958969M/128029.JPG,SCIENCE
67,67,67,67,THE PERKS OF BEING A WALLFLOWER,STEPHEN CHBOSKY,671027344,228,1999.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1167352178M/22628.JPG,TEXTBOOK
68,68,68,68,"INSURGENT (DIVERGENT, #2)",VERONICA ROTH,7442912,264,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1325667729M/11735983.JPG,PHILOSOPHY
69,69,69,69,"ENDER'S GAME (ENDER'S SAGA, #1)",ORSON SCOTT CARD,812550706,324,1985.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408303130M/375802.JPG,CRIME
70,70,70,70,FRANKENSTEIN,"MARY WOLLSTONECRAFT SHELLEY, PERCY BYSSHE SHELLEY, MAURICE HINDLE",141439475,2718,1818.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1381512375M/18490.JPG,SCIENCEFICTION
71,71,71,71,THE SHINING (THE SHINING #1),STEPHEN KING,450040186,389,1977.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1353277730M/11588.JPG,SCIENCE
72,72,72,72,"THE HOST (THE HOST, #1)",STEPHENIE MEYER,316068047,261,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1318009171M/1656001.JPG,TRAVEL
73,73,73,73,LOOKING FOR ALASKA,JOHN GREEN,142402516,287,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1394798630M/99561.JPG,TRAVEL
74,74,74,74,"BRIDGET JONES'S DIARY (BRIDGET JONES, #1)",HELEN FIELDING,014028009X,293,1996.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1292060045M/227443.JPG,HISTORY
75,75,75,75,SENSE AND SENSIBILITY,"JANE AUSTEN, TONY TANNER, ROS BALLASTER",141439661,2069,1811.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1397245675M/14935.JPG,SCIENCE
76,76,76,76,"HOLES (HOLES, #1)","LOUIS SACHAR, LOUIS SACHAR",439244196,238,1998.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327781893M/38709.JPG,TRAVEL
77,77,77,77,"THE DEVIL WEARS PRADA (THE DEVIL WEARS PRADA, #1)",LAUREN WEISBERGER,307275558,229,2003.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,BIOGRAPHY
78,78,78,78,THE ODYSSEY,"HOMER, ROBERT FAGLES, E.V. RIEU, FRÉDÉRIC MUGLER, BERNARD KNOX",143039954,1803,-720.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1390173285M/1381.JPG,PHILOSOPHY
79,79,79,79,THE LITTLE PRINCE,"ANTOINE DE SAINT-EXUPÉRY, RICHARD HOWARD, DOM MARCOS BARBOSA, MELINA KARAKOSTA",156012197,1808,1946.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1367545443M/157993.JPG,CLASSIC
80,80,80,80,THE GLASS CASTLE,JEANNETTE WALLS,074324754X,192,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1400930557M/7445.JPG,TEXTBOOK
81,81,81,81,INTO THE WILD,JON KRAKAUER,385486804,208,1996.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403173986M/1845.JPG,YOUNGADULT
82,82,82,82,A TALE OF TWO CITIES,"CHARLES DICKENS, RICHARD MAXWELL, HABLOT KNIGHT BROWNE",141439602,625,1859.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344922523M/1953.JPG,PHILOSOPHY
83,83,83,83,"JURASSIC PARK (JURASSIC PARK, #1)",MICHAEL CRICHTON,030734813X,276,1990.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
84,84,84,84,THE GIVING TREE,SHEL SILVERSTEIN,60256656,181,1964.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1174210942M/370493.JPG,SCIENCE
85,85,85,85,A TIME TO KILL,JOHN GRISHAM,385338600,258,1989.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,CLASSIC
86,86,86,86,NIGHT (THE NIGHT TRILOGY #1),"ELIE WIESEL, MARION WIESEL",374500010,209,1958.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1473495285M/1617.JPG,TEXTBOOK
87,87,87,87,PAPER TOWNS,JOHN GREEN,014241493X,278,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1349013610M/6442769.JPG,YOUNGADULT
88,88,88,88,THE PRINCESS BRIDE ,WILLIAM GOLDMAN,345418263,229,1973.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327903636M/21787.JPG,CRIME
89,89,89,89,THE OUTSIDERS,S.E. HINTON,014038572X,256,1967.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1442129426M/231804.JPG,BIOGRAPHY
90,90,90,90,"THE MAZE RUNNER (MAZE RUNNER, #1)",JAMES DASHNER,385737947,247,2009.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1375596592M/6186357.JPG,SCIENCE
91,91,91,91,"FREAKONOMICS: A ROGUE ECONOMIST EXPLORES THE HIDDEN SIDE OF EVERYTHING (FREAKONOMICS, #1)","STEVEN D. LEVITT, STEPHEN J. DUBNER",61234001,224,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327909092M/1202.JPG,SCIENCEFICTION
92,92,92,92,THE SECRET GARDEN,FRANCES HODGSON BURNETT,517189607,1450,1911.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327873635M/2998.JPG,SCIENCE
93,93,93,93,ONE HUNDRED YEARS OF SOLITUDE,"GABRIEL GARCÍA MÁRQUEZ, GREGORY RABASSA",60531045,655,1967.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327881361M/320.JPG,CRIME
94,94,94,94,THE PICTURE OF DORIAN GRAY,"OSCAR WILDE, JEFFREY EUGENIDES",375751513,2403,1891.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1424596966M/5297.JPG,TEXTBOOK
95,95,95,95,"FIFTY SHADES FREED (FIFTY SHADES, #3)",E.L. JAMES,345803507,233,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1336418837M/13536860.JPG,BIOGRAPHY
96,96,96,96,DRACULA,"BRAM STOKER, NINA AUERBACH, DAVID J. SKAL",393970124,2307,1897.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1387151694M/17245.JPG,PHILOSOPHY
97,97,97,97,"THE GIRL WHO PLAYED WITH FIRE (MILLENNIUM, #2)","STIEG LARSSON, REG KEELAND",307269981,309,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1351778881M/5060378.JPG,CLASSIC
98,98,98,98,"FIFTY SHADES DARKER (FIFTY SHADES, #2)",E.L. JAMES,1612130585,247,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358266080M/11857408.JPG,TEXTBOOK
99,99,99,99,THE POISONWOOD BIBLE,BARBARA KINGSOLVER,60786507,139,1998.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1412242487M/7244.JPG,HORROR
100,100,100,100,ME TALK PRETTY ONE DAY,DAVID SEDARIS,349113912,159,2000.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,TEXTBOOK
101,101,101,101,WHERE THE WILD THINGS ARE,MAURICE SENDAK,99408392,210,1963.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1384434560M/19543.JPG,HISTORY
102,102,102,102,THE COUNT OF MONTE CRISTO,"ALEXANDRE DUMAS, ROBIN BUSS",140449264,1410,1844.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309203605M/7126.JPG,SCIENCE
103,103,103,103,THE ROAD,CORMAC MCCARTHY,307265439,281,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1439197219M/6288.JPG,CLASSIC
104,104,104,104,"ALLEGIANT (DIVERGENT, #3)",VERONICA ROTH,7524277,253,2013.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1395582745M/18710190.JPG,TEXTBOOK
105,105,105,105,BOSSYPANTS,TINA FEY,,148,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1481509554M/9418327.JPG,TRAVEL
106,106,106,106,A WALK TO REMEMBER,NICHOLAS SPARKS,446693804,231,1999.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1385738968M/3473.JPG,CLASSIC
107,107,107,107,"CONFESSIONS OF A SHOPAHOLIC (SHOPAHOLIC, #1)",SOPHIE KINSELLA,440241413,244,2000.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327872404M/9416.JPG,YOUNGADULT
108,108,108,108,LES MISÉRABLES,"VICTOR HUGO, LEE FAHNESTOCK, NORMAN MACAFEE",451525264,1419,1862.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1411852091M/24280.JPG,CLASSIC
109,109,109,109,"A CLASH OF KINGS  (A SONG OF ICE AND FIRE, #2)",GEORGE R.R. MARTIN,553381695,302,1998.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358254974M/10572.JPG,HISTORY
110,110,110,110,THE MEMORY KEEPER'S DAUGHTER,KIM EDWARDS,143037145,198,2005.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,HORROR
111,111,111,111,"ME BEFORE YOU (ME BEFORE YOU, #1)",JOJO MOYES,670026603,268,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1357108762M/15507958.JPG,HORROR
112,112,112,112,CATCH-22,JOSEPH HELLER,684833395,351,1961.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1463157317M/168668.JPG,PHILOSOPHY
113,113,113,113,TUESDAYS WITH MORRIE,"MITCH ALBOM, SAULIUS DAGYS",751529818,272,1997.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1423763749M/6900.JPG,CLASSIC
114,114,114,114,MIDDLESEX,JEFFREY EUGENIDES,312422156,225,2002.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1437029776M/2187.JPG,CRIME
115,115,115,115,THE ADVENTURES OF TOM SAWYER,"MARK TWAIN, GUY CARDWELL, JOHN SEELYE",143039563,2548,1876.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1404811979M/24583.JPG,SCIENCEFICTION
116,116,116,116,"A WRINKLE IN TIME (A WRINKLE IN TIME QUINTET, #1)",MADELEINE L'ENGLE,440498058,265,1962.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1329061522M/18131.JPG,CRIME
117,117,117,117,THE JOY LUCK CLUB,AMY TAN,143038095,226,1989.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1304978653M/7763.JPG,TRAVEL
118,118,118,118,THE HANDMAID'S TALE,MARGARET ATWOOD,038549081X,336,1985.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1498057733M/38447.JPG,SCIENCE
119,119,119,119,"THE SISTERHOOD OF THE TRAVELING PANTS (SISTERHOOD, #1)",ANN BRASHARES,385729332,193,2001.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1461611233M/452306.JPG,CRIME
120,120,120,120,LOLITA,"VLADIMIR NABOKOV, CRAIG RAINE",,470,1955.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1377756377M/7604.JPG,TEXTBOOK
121,121,121,121,"WICKED: THE LIFE AND TIMES OF THE WICKED WITCH OF THE WEST (THE WICKED YEARS, #1)","GREGORY MAGUIRE, DOUGLAS SMITH",60987103,180,1995.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1437733293M/37442.JPG,CRIME
